Name,Start,End,Tclocation
Sagamu rd 1,"6.719512812505182, 3.519349556510159","6.628281146813849, 3.506882178964504",56
Sagau rd 2,"6.628360002278626, 3.507039889894058","6.71949966992772, 3.519411983753108",56
Ikorodu-Epe Rd 1,"6.626930746979546, 3.507299455798949","6.646174766029458, 3.560753603984533",52
Ikorodu-Epe Rd 2,"6.646247050205503, 3.560720747540876","6.626975103178484, 3.507261670888743",52
Owutu-Isawo Rd 1,"6.6629923367152974, 3.467278664602531","6.6358529142546105, 3.482133062779865",54
Owutu-Isawo Rd 2,"6.635905484564462, 3.4821922043784475","6.663000550826213, 3.4673575200673077",54
Agbede Rd 1,"6.689305419618017, 3.496709824008295","6.6658130624032585, 3.4767528201310283",55
Agbede Rd 2,"6.665763777737773, 3.4767823909303197","6.68926270624126, 3.49675253738505",55
Awolowo way 1,"6.589788180247473, 3.517376527068544","6.549502894679638, 3.5412935538175816",7
Awolowo Way 2,"6.549517680079281, 3.5413338029610624","6.589845679023873, 3.517412669156567",7
Sagamu rd 1,"6.719512812505182, 3.519349556510159","6.628281146813849, 3.506882178964504",58
Sagau rd 2,"6.628360002278626, 3.507039889894058","6.71949966992772, 3.519411983753108",58
Ajegunle Rd 1,"6.700222794434156, 3.476465326249034","6.6848196936477535, 3.508296648863943",57
Ajegunle Rd 2,"6.68492811991182, 3.5082966488639427","6.700265507810912, 3.4765146109145206",57
Bode Thomas St 1,"6.488647011149227, 3.3488032572419173","6.488894255887747, 3.363413696325097",99
Bode Thomas St 2,"6.488936969264501, 3.36336359024852","6.4887004028701725, 3.3487662937428033",99
